name,op_name,provider,node_index,dur,activation_size,output_size,input_type_shape,output_type_shape
MatMul_With_Transpose_token_11_FusedMatMulAndScale_fence_before,FusedMatMul,,,0,,,"""""",""""""
MatMul_With_Transpose_token_11_FusedMatMulAndScale_kernel_time,FusedMatMul,CPUExecutionProvider,1059,389,1572864,3145728,"[{""float"": [1, 12, 256, 64]}, {""float"": [1, 12, 256, 64]}]","[{""float"": [1, 12, 256, 256]}]"
MatMul_With_Transpose_token_11_FusedMatMulAndScale_fence_after,FusedMatMul,,,0,,,"""""",""""""
bert/encoder/layer_10/attention/self/add_fence_before,Add,,,0,,,"""""",""""""
bert/encoder/layer_10/attention/self/add_kernel_time,Add,CPUExecutionProvider,1063,73,3407872,3145728,"[{""float"": [1, 12, 256, 256]}, {""float"": [1, 1, 256, 256]}]","[{""float"": [1, 12, 256, 256]}]"
bert/encoder/layer_10/attention/self/add_fence_after,Add,,,0,,,"""""",""""""
bert/encoder/layer_10/attention/self/Softmax_fence_before,Softmax,,,0,,,"""""",""""""
bert/encoder/layer_10/attention/self/Softmax_kernel_time,Softmax,CPUExecutionProvider,1064,467,3145728,3145728,"[{""float"": [1, 12, 256, 256]}]","[{""float"": [1, 12, 256, 256]}]"
bert/encoder/layer_10/attention/self/Softmax_fence_after,Softmax,,,0,,,"""""",""""""
bert/encoder/layer_10/attention/self/MatMul_1_quant_fence_before,DynamicQuantizeMatMul,,,0,,,"""""",""""""
bert/encoder/layer_10/attention/self/MatMul_1_quant_kernel_time,DynamicQuantizeMatMul,CPUExecutionProvider,1384,377,3342341,786432,"[{""float"": [1, 12, 256, 256]}, {""uint8"": [1, 12, 256, 64]}, {""float"": []}, {""uint8"": []}]","[{""float"": [1, 12, 256, 64]}]"
bert/encoder/layer_10/attention/self/MatMul_1_quant_fence_after,DynamicQuantizeMatMul,,,0,,,"""""",""""""
bert/encoder/layer_10/attention/self/transpose_3_fence_before,Transpose,,,0,,,"""""",""""""
bert/encoder/layer_10/attention/self/transpose_3_kernel_time,Transpose,CPUExecutionProvider,1080,36,786432,786432,"[{""float"": [1, 12, 256, 64]}]","[{""float"": [1, 256, 12, 64]}]"
